id,speaker_header,polarity,subjectivity
1,montano1_1_1,0.3,0.5
2,montano1_1_2,0.5,0.5
3,montano1_1_3,0.04999999999999996,0.55
4,montano1_1_4,0.3,0.65
5,montano1_1_5,0.0,0.0
6,montano1_1_6,0.275,0.5
7,montano1_1_7,0.0,0.0
8,montano1_2_1,0.0,0.0
9,montano1_2_2,0.0,0.0
10,montano1_3_1,0.0,1.0
11,montano1_4_1,0.0,0.5
12,montano1_5_1,0.0,0.0
13,montano1_5_2,0.6499999999999999,0.8
14,montano1_6_1,0.38125,0.55
15,montano1_6_2,0.6,0.6000000000000001
16,montano1_7_1,0.55,0.75
17,montano1_8_1,0.0,0.0
18,montano1_9_1,0.0,0.0
19,montano1_9_2,-0.175,0.55
