id,speaker_header,polarity,subjectivity
1,emilia21_1_1,0.0,0.0
2,emilia21_1_2,0.0,0.06666666666666667
3,emilia21_1_3,-0.21666666666666667,0.21666666666666667
4,emilia21_1_4,0.0,0.0
5,emilia21_1_5,0.0,0.0
6,emilia21_1_6,0.0,0.0
7,emilia31_1_1,0.0,0.0
8,emilia31_1_2,0.2,0.3
9,emilia33_1_1,0.2,0.8
10,emilia34_1_1,0.0,0.0
11,emilia21_2_1,0.0,0.0
12,emilia31_2_1,0.7,0.2
13,emilia33_2_1,0.5,0.8888888888888888
14,emilia33_2_2,0.0,0.0
15,emilia34_2_1,-0.4,1.0
16,emilia21_3_1,0.0,0.0
17,emilia21_3_2,0.0,0.0
18,emilia21_3_3,0.4,0.9
19,emilia33_3_1,0.3333333333333333,0.6666666666666666
20,emilia34_3_1,0.625,0.5
21,emilia33_4_1,0.5,0.5
22,emilia34_4_1,0.0,0.0
23,emilia34_4_2,0.0,0.0
24,emilia34_4_3,0.5,1.0
25,emilia33_5_1,0.0,0.0
26,emilia34_5_1,0.0,0.0
27,emilia34_5_2,-0.125,0.4
28,emilia33_6_1,0.0,0.0
29,emilia33_6_2,0.0,0.0
30,emilia33_6_3,0.0,0.0
31,emilia33_6_4,0.0,0.0
32,emilia33_6_5,0.0,0.0
33,emilia33_7_1,0.0,0.0
34,emilia33_8_1,0.4,0.7
35,emilia33_9_1,0.0,0.0
36,emilia33_9_2,0.0,0.0
37,emilia33_10_1,-0.8,1.0
