id,speaker_header,polarity,subjectivity
1,othello12_1_1,0.0,0.0
2,othello12_1_2,0.0,0.0
3,othello12_1_3,-0.26666666666666666,0.7055555555555556
4,othello13_1_1,0.0,0.0
5,othello21_1_1,-1.0,1.0
6,othello21_1_2,0.35,0.4666666666666667
7,othello23_1_1,0.0,0.0
8,othello23_1_2,-0.3,0.5
9,othello32_1_1,0.0,0.0
10,othello32_1_2,0.0,0.0
11,othello33_1_1,0.0,0.0
12,othello33_1_2,-0.5,0.29999999999999993
13,othello34_1_1,0.029166666666666636,0.75
14,othello12_2_1,0.0,0.0
15,othello12_2_2,0.6,1.0
16,othello13_2_1,0.0,0.0
17,othello21_2_1,0.0,0.0
18,othello21_2_2,0.0,0.0
19,othello23_2_1,0.0,0.0
20,othello32_2_1,0.0,0.0
21,othello33_2_1,0.0,0.0
22,othello34_2_1,-0.4000000000000001,0.6
23,othello12_3_1,0.0,0.0
24,othello12_3_2,0.07999999999999999,0.55
25,othello13_3_1,0.8,0.75
26,othello13_3_2,0.0,0.5
27,othello13_3_3,0.65,0.75
28,othello13_3_4,-0.1,0.6
29,othello21_3_1,0.0875,0.65
30,othello21_3_2,-0.4,0.6
31,othello21_3_3,0.875,0.6000000000000001
32,othello23_3_1,0.0,0.0
33,othello33_3_1,0.5,1.0
34,othello34_3_1,0.0,0.0
35,othello12_4_1,0.0,0.0
36,othello13_4_1,0.0,0.0
37,othello13_4_2,0.0,0.0
38,othello13_4_3,-0.1,0.1
39,othello13_4_4,0.1,0.2
40,othello13_4_5,0.0,0.0
41,othello13_4_6,0.65,0.675
42,othello13_4_7,0.475,0.825
43,othello13_4_8,0.7,0.6000000000000001
44,othello13_4_9,0.44999999999999996,0.4
45,othello13_4_10,0.5,0.5
46,othello21_4_1,0.0,0.0
47,othello21_4_2,0.6,0.65
48,othello23_4_1,0.0,0.0
49,othello33_4_1,0.35,0.65
50,othello34_4_1,-0.20833333333333331,0.16666666666666666
51,othello34_4_2,-0.15000000000000002,0.75
52,othello12_5_1,0.6,0.9
53,othello12_5_2,0.0,0.0
54,othello12_5_3,0.0,0.0
55,othello12_5_4,0.2,0.2
56,othello13_5_1,0.0,0.0
57,othello13_5_2,0.0,0.3
58,othello23_5_1,0.0625,0.375
59,othello23_5_2,0.875,0.2
60,othello23_5_3,0.0,0.0
61,othello33_5_1,0.0,0.0
62,othello33_5_2,0.0,0.0
63,othello34_5_1,0.08333333333333333,0.16666666666666666
64,othello34_5_2,0.0,0.0
65,othello34_5_3,0.0,0.0
66,othello34_5_4,0.0,0.0
67,othello34_5_5,0.0,0.0
68,othello34_5_6,0.0,0.0
69,othello34_5_7,0.0,0.0
70,othello34_5_8,-0.25,0.0
71,othello34_5_9,0.0,0.0
72,othello12_6_1,0.45,0.7
73,othello12_6_2,1.0,0.3
74,othello12_6_3,0.40909090909090906,0.48863636363636365
75,othello13_6_1,0.16666666666666666,0.6333333333333333
76,othello23_6_1,-0.5,1.0
77,othello33_6_1,0.0,0.0
78,othello34_6_1,0.175,0.525
79,othello12_7_1,0.0,0.0
80,othello13_7_1,0.0,0.75
81,othello23_7_1,-0.5,1.0
82,othello23_7_2,0.4,0.65
83,othello23_7_3,-0.5,1.0
84,othello23_7_4,-0.5,1.0
85,othello33_7_1,0.475,0.7250000000000001
86,othello33_7_2,0.0,0.0
87,othello33_7_3,0.0,0.1
88,othello34_7_1,0.0,0.0
89,othello34_7_2,0.0,0.0
90,othello34_7_3,0.0,0.0
91,othello34_7_4,-0.5000000000000001,0.6
92,othello34_7_5,0.0,0.0
93,othello12_8_1,0.0,0.0
94,othello13_8_1,0.0,0.0
95,othello13_8_2,0.0,0.0
96,othello23_8_1,0.0,0.0
97,othello23_8_2,0.0,0.0
98,othello33_8_1,0.0,0.0
99,othello34_8_1,0.35,0.65
100,othello12_9_1,0.2,0.6
101,othello13_9_1,0.0,0.0
102,othello13_9_2,0.0,0.0
103,othello13_9_3,0.0,0.0
104,othello13_9_4,0.0,0.0
105,othello13_9_5,0.0,0.0
106,othello13_9_6,0.0,0.0
107,othello13_9_7,0.0,0.0
108,othello23_9_1,0.0,0.0
109,othello23_9_2,0.6,0.7
110,othello23_9_3,0.425,0.625
111,othello33_9_1,-0.5,1.0
112,othello33_9_2,0.0,0.0
113,othello33_9_3,0.0,0.0
114,othello33_9_4,0.0,0.0
115,othello34_9_1,-0.625,1.0
116,othello34_9_2,0.0,0.0
117,othello12_10_1,0.0,0.0
118,othello13_10_1,0.0,0.0
119,othello13_10_2,0.0,0.0
120,othello23_10_1,0.0,0.0
121,othello23_10_2,0.7,0.6000000000000001
122,othello33_10_1,0.0,0.0
123,othello34_10_1,0.0,0.0
124,othello34_10_2,0.0,0.0
125,othello34_10_3,0.0,0.0
126,othello34_10_4,-0.6212121212121212,0.8181818181818182
127,othello12_11_1,0.0,0.0
128,othello33_11_1,0.0,0.0
129,othello34_11_1,0.0,0.0
130,othello33_12_1,0.10648148148148147,0.5212962962962963
131,othello33_12_2,0.2833333333333334,0.85
132,othello33_12_3,0.0,0.0
133,othello34_12_1,0.0,0.0
134,othello33_13_1,0.0,0.0
135,othello34_13_1,0.05,1.0
136,othello33_14_1,0.0,0.0
137,othello33_14_2,0.0,0.0
138,othello34_14_1,0.0,0.0
139,othello34_14_2,0.0,0.0
140,othello34_14_3,-0.75,1.0
141,othello34_14_4,0.0,0.0
142,othello34_14_5,0.0,0.0
143,othello34_14_6,-0.15000000000000002,0.9
144,othello34_14_7,0.35,0.65
145,othello34_14_8,0.0,0.0
146,othello33_15_1,0.0,0.0
